ticker,name,asset_type,asset_class,category,geography,volatility,avg_volume,last_price,liquidity,expense_ratio,is_esg
VT,Vanguard Total World Stock Inde,ETF,Equities - US,equities,US,0.16963671811927603,3102846.7896825396,147.5500030517578,457825053.2867957,0.001,False
ACWI,iShares MSCI ACWI ETF,ETF,Equities - US,equities,US,0.17203490308886313,3539195.7023809524,147.17999267578125,520898797.55458504,0.001,False
URTH,iShares MSCI World ETF,ETF,Equities - US,equities,US,0.1738723887438705,380754.8373015873,190.44000244140625,72510952.14529152,0.001,False
VWCE.DE,Vanguard FTSE All-World U.ETF R,ETF,Equities - Europe,equities,Europe,0.16291272065623305,167395.24110671936,149.83999633789062,25082502.31441115,0.001,False
CW8.PA,Amundi MSCI World Swap UCITS ET,ETF,Equities - Europe,equities,Europe,0.16657630218910227,8171.15625,618.02001953125,5049938.1452178955,0.001,False
IWDA.AS,iShares Core MSCI World UCITS E,ETF,Equities - Europe,equities,Europe,0.1659818919940439,139577.10546875,113.54000091552734,15847584.682708532,0.001,False
VTI,Vanguard Total Stock Market ETF,ETF,Equities - US,equities,US,0.193380422774271,4366320.035714285,338.42498779296875,1477671804.7868018,0.001,False
SPY,State Street SPDR S&P 500 ETF T,ETF,Equities - US,equities,US,0.19379770498679433,77450658.92460318,686.030029296875,53133477811.107796,0.001,False
VOO,Vanguard S&P 500 ETF,ETF,Equities - US,equities,US,0.18429024632565366,8231245.630952381,631.010009765625,5193998385.97052,0.001,False
QQQ,"Invesco QQQ Trust, Series 1",ETF,Equities - US,equities,US,0.2334094661270055,52650955.32936508,607.3599853515625,31978083457.588947,0.001,False
IWM,iShares Russell 2000 ETF,ETF,Equities - US,equities,US,0.2297639672986081,37416570.21031746,262.4549865722656,9820165432.129105,0.001,False
VUG,Vanguard Growth ETF,ETF,Equities - US,equities,US,0.23339434076042806,1329928.373015873,462.9800109863281,615730252.7499183,0.001,False
VTV,Vanguard Value ETF,ETF,Equities - US,equities,US,0.15155704631875536,3351376.051587302,205.77499389648438,689629386.5602009,0.001,False
DIA,SPDR Dow Jones Industrial Avera,ETF,Equities - US,equities,US,0.16885699605546026,4833779.547619048,491.6000061035156,2376286055.1125727,0.001,False
SCHD,Schwab US Dividend Equity ETF,ETF,Equities - US,equities,US,0.16243307190765213,17971688.03968254,31.549999237060547,567006743.9406743,0.001,False
VGK,Vanguard FTSEEuropean ETF,ETF,Equities - US,equities,US,0.16680249334945163,3683140.3253968256,89.76000213623047,330598683.4756557,0.001,False
EZU,iShares MSCI Eurozone ETF,ETF,Equities - US,equities,US,0.1811763446040138,2156934.9325396824,68.5250015258789,147803969.54350325,0.001,False
FEZ,State Street SPDR EURO STOXX 50,ETF,Equities - US,equities,US,0.18911981874248668,1898954.1587301588,68.5999984741211,130268252.3913148,0.001,False
IE00B4L5Y983,ISHARES III PLC ISHRS CORE MSCI,ETF,Equities - US,equities,US,0.15687573376823385,420771.1811023622,133.77999877929688,56290768.09423732,0.001,False
ANX.PA,Amundi Nasdaq-100 Swap UCITS ET,ETF,Equities - Europe,equities,Europe,0.21737805665632184,3487.80859375,242.39999389648438,845444.7818371058,0.001,False
ESE.PA,BNP Paribas Easy S&P 500 UCITS ,ETF,Equities - Europe,equities,Europe,0.18080486957169953,165567.421875,29.47960090637207,4880861.519971937,0.001,False
PTPXE.PA,Amundi PEA Japon (TOPIX) UCITS ,ETF,Equities - Europe,equities,Europe,0.17695873745828414,9871.4375,36.152000427246094,356872.2127175331,0.001,False
PMEH.PA,Amundi PEA Immobilier Europe (F,ETF,Equities - Europe,equities,Europe,0.1605188792206373,8199.49609375,13.817000389099121,113292.44071776047,0.001,False
PSP5.PA,Amundi PEA S&P 500 UCITS ETF Ac,ETF,Equities - Europe,equities,Europe,0.17958209782089082,54715.42578125,51.09600067138672,2795739.43245396,0.001,False
PUST.PA,Amundi PEA Nasdaq-100 UCITS ETF,ETF,Equities - Europe,equities,Europe,0.21809516241783927,43163.8046875,85.04000091552734,3670649.9901426435,0.001,False
PAEEM.PA,Amundi PEA Emergent (MSCI Emerg,ETF,ESG / Sustainable,equities,Global,0.16841510522231767,35987.07421875,32.67499923706055,1175877.6226416975,0.001,True
VWO,Vanguard FTSE Emerging Markets ,ETF,Equities - Emerging Markets,equities,Emerging,0.1676998505738287,9782168.444444444,58.78499984741211,575044770.5140262,0.001,False
